ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010000704;bassin;;"395 / 641 (?)  (époque byzantine [?])";"E 12998";"Département des Antiquités égyptiennes";;"non exposé";
cl010000705;coupe;;"395 / 641  (époque byzantine)";"E 12999";"Département des Antiquités égyptiennes";;"non exposé";
cl010000706;"couvercle de vase";;"395 / 641  (époque byzantine)";"E 15420; M. 5693";"Département des Antiquités égyptiennes";;"non exposé";
cl010000707;"lampe ovoïde à bec pincé";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 21049; MG 3550";"Département des Antiquités égyptiennes";;"non exposé";
cl010000708;"lampe ovoïde à bec pincé";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 29958";"Département des Antiquités égyptiennes";;"non exposé";
cl010000709;"lampe ovoïde à bec pincé";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 21037; MG 3538";"Département des Antiquités égyptiennes";;"non exposé";
cl010000710;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15442";"Département des Antiquités égyptiennes";;"non exposé";
cl010000711;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15443";"Département des Antiquités égyptiennes";;"non exposé";
cl010000712;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15444";"Département des Antiquités égyptiennes";;"non exposé";
cl010000713;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15445";"Département des Antiquités égyptiennes";;"non exposé";
cl010000714;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15446";"Département des Antiquités égyptiennes";;"non exposé";
cl010000716;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15449";"Département des Antiquités égyptiennes";;"non exposé";
cl010000717;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 15450";"Département des Antiquités égyptiennes";;"non exposé";
cl010000718;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 29967";"Département des Antiquités égyptiennes";;"non exposé";
cl010000719;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 29969";"Département des Antiquités égyptiennes";;"non exposé";
cl010000720;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 1492";"Département des Antiquités égyptiennes";;"non exposé";
cl010000721;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 1494";"Département des Antiquités égyptiennes";;"non exposé";
cl010000722;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 1514";"Département des Antiquités égyptiennes";;"non exposé";
cl010000723;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 1526";"Département des Antiquités égyptiennes";;"non exposé";
cl010000724;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 13019";"Département des Antiquités égyptiennes";;"non exposé";
cl010000728;figurine;;"395 / 641  (époque byzantine)";"E 13012 ?";"Département des Antiquités égyptiennes";;"non exposé";
cl010000737;figurine;;"-30 / 641 (?)  (époque romaine [?] ; époque byzantine [?])";"E 14155";"Département des Antiquités égyptiennes";;"non exposé";
cl010000738;"pendentif ; amulette";;"395 / 641  (époque byzantine)";"AF 10993";"Département des Antiquités égyptiennes";;"Vif (France), Musée Champollion";
cl010000741;figurine;;"-30 / 641 (?)  (époque romaine [?] ; époque byzantine [?])";"E 13911; M. 4096";"Département des Antiquités égyptiennes";;"non exposé";
cl010000742;figurine;;"-30 / 395 (?)  (époque romaine [?])";"E 14159; M. 4957";"Département des Antiquités égyptiennes";;"non exposé";
cl010000743;vase;;"-30 / 641 (?)  (époque romaine [?] ; époque byzantine [?])";"E 15425; M. 4955";"Département des Antiquités égyptiennes";;"non exposé";
cl010000744;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1479";"Département des Antiquités égyptiennes";;"non exposé";
cl010000748;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 8501";"Département des Antiquités égyptiennes";;"non exposé";
cl010000755;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 8503";"Département des Antiquités égyptiennes";;"non exposé";
cl010000756;figurine;;"395 / 641  (époque byzantine)";"E 14158";"Département des Antiquités égyptiennes";;"non exposé";
cl010000763;figurine;;"395 / 641  (époque byzantine)";"E 12781";"Département des Antiquités égyptiennes";;"non exposé";
cl010000767;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1221";"Département des Antiquités égyptiennes";;"non exposé";
cl010000770;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1480";"Département des Antiquités égyptiennes";;"non exposé";
cl010000780;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 15429";"Département des Antiquités égyptiennes";;"non exposé";
cl010000781;figurine;;"-30 / 641 (?)  (époque romaine [?] ; époque byzantine [?])";"E 13907";"Département des Antiquités égyptiennes";;"non exposé";
cl010000782;figurine;;"395 / 641  (époque byzantine)";"E 15430";"Département des Antiquités égyptiennes";;"non exposé";
cl010000784;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 8504";"Département des Antiquités égyptiennes";;"non exposé";
cl010000789;"lampe théière";;"395 / 641  (époque byzantine)";"E 13000";"Département des Antiquités égyptiennes";;"non exposé";
cl010000791;poinçon;;"-30 / 641 (?)  (époque romaine [?] ; époque byzantine [?])";"AF 478";"Département des Antiquités égyptiennes";;"non exposé";
cl010000792;"plateau de jeu";;"650 / 700  (époque byzantine)";"E 21047; E 22316; MG 3548";"Département des Antiquités égyptiennes";;"non exposé";
cl010000793;"lampe à la grenouille";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 16117";"Département des Antiquités égyptiennes";;"non exposé";
cl010000794;lampe;;"395 / 641  (époque byzantine)";"E 12930";"Département des Antiquités égyptiennes";;"non exposé";
cl010000795;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1521";"Département des Antiquités égyptiennes";;"non exposé";
cl010000796;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1485";"Département des Antiquités égyptiennes";;"non exposé";
cl010000797;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1486";"Département des Antiquités égyptiennes";;"non exposé";
cl010000798;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1487";"Département des Antiquités égyptiennes";;"non exposé";
cl010000799;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1488";"Département des Antiquités égyptiennes";;"non exposé";
cl010000800;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 29983";"Département des Antiquités égyptiennes";;"non exposé";
cl010000801;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 29984";"Département des Antiquités égyptiennes";;"non exposé";
cl010000802;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 21050; MG 3551";"Département des Antiquités égyptiennes";;"non exposé";
cl010000803;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 12392";"Département des Antiquités égyptiennes";;"non exposé";
cl010000804;"lampe ovale à médaillon et anse";;"300 / 499 (?)  (époque byzantine ; époque romaine [?])";"E 15455";"Département des Antiquités égyptiennes";;"non exposé";
cl010000805;"lampe ovale à médaillon et anse";;"300 / 499 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12934";"Département des Antiquités égyptiennes";;"non exposé";
cl010000806;"lampe ovale allongée à canal";;"395 / 641  (époque byzantine)";"AF 1511";"Département des Antiquités égyptiennes";;"non exposé";
cl010000809;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 15454";"Département des Antiquités égyptiennes";;"non exposé";
cl010000810;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"AF 1506";"Département des Antiquités égyptiennes";;"non exposé";
cl010000811;"bracelet ; anneau";;"1171 / 1250  (Ayyoubides)";"E 10955 C";"Département des Antiquités égyptiennes";;"non exposé";
cl010000812;"bracelet ; anneau";;"1171 / 1250  (Ayyoubides)";"E 10955 D; AF 6854";"Département des Antiquités égyptiennes";;"non exposé";
cl010000819;"moule à lampe";;"700 / 799  (époque islamique)";"E 33070";"Département des Antiquités égyptiennes";;"non exposé";
cl010000820;moule;;"395 / 641  (époque byzantine)";"AF 13322";"Département des Antiquités égyptiennes";;"non exposé";
cl010000821;figurine;;"395 / 641  (époque byzantine)";"E 12779";"Département des Antiquités égyptiennes";;"non exposé";
cl010000822;figurine;;"-30 / 395 (?)  (époque romaine [?])";"E 11748; N°65";"Département des Antiquités égyptiennes";;"non exposé";
cl010000823;"bracelet ; anneau";;"1171 / 1250  (Ayyoubides)";"E 10955 B";"Département des Antiquités égyptiennes";;"non exposé";
cl010000824;bracelet;;"1171 / 1250  (Ayyoubides)";"E 10955 A";"Département des Antiquités égyptiennes";;"non exposé";
cl010000828;"moule ; sceau";;"-332 / 395 (?)  (époque ptolémaïque [?] ; époque romaine [?])";"E 12851";"Département des Antiquités égyptiennes";;"non exposé";
cl010000829;moule;;"395 / 641  (époque byzantine)";"E 12862";"Département des Antiquités égyptiennes";;"non exposé";
cl010000830;moule;;"395 / 641  (époque byzantine)";"E 12857";"Département des Antiquités égyptiennes";;"non exposé";
cl010000831;moule;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 13324";"Département des Antiquités égyptiennes";;"non exposé";
cl010000833;moule;;"395 / 641  (époque byzantine)";"E 12855";"Département des Antiquités égyptiennes";;"non exposé";
cl010000834;"moule à lampe";;"400 / 641  (époque byzantine)";"E 12856";"Département des Antiquités égyptiennes";;"non exposé";
cl010000839;vase;;"395 / 499  (époque byzantine)";"E 12957; M. 1848";"Département des Antiquités égyptiennes";;"non exposé";
cl010000840;moule;;"395 / 641 (?)  (époque byzantine [?])";"AF 13321";"Département des Antiquités égyptiennes";;"non exposé";
cl010000842;moule;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 13320";"Département des Antiquités égyptiennes";;"non exposé";
cl010000843;"moule à lampe";;"395 / 641  (époque byzantine)";"E 33069";"Département des Antiquités égyptiennes";;"non exposé";
cl010000844;"moule à lampe";;"500 / 641  (époque byzantine)";"E 12846 ?";"Département des Antiquités égyptiennes";;"non exposé";
cl010000845;"moule à lampe";;"400 / 600  (époque byzantine)";"E 12847";"Département des Antiquités égyptiennes";;"non exposé";
cl010000846;"moule ; sceau";;"-332 / 395 (?)  (époque ptolémaïque [?] ; époque romaine [?])";"E 12850";"Département des Antiquités égyptiennes";;"non exposé";
cl010000847;moule;;"500 / 699  (époque byzantine)";"E 12853";"Département des Antiquités égyptiennes";;"non exposé";
cl010000849;verrou;;"641 / 1952  (époque islamique)";"E 14055 A";"Département des Antiquités égyptiennes";;"non exposé";
cl010000850;"collier ; perle en olive ; perle sphérique ; pendentif ; amulette";;"-30 / 395  (époque romaine ; époque moderne)";"E 11911";"Département des Antiquités égyptiennes";;"non exposé";
cl010000852;"moule à lampe";;"395 / 641  (époque byzantine)";"AF 13325";"Département des Antiquités égyptiennes";;"non exposé";
cl010000853;moule;;"395 / 641  (époque byzantine)";"E 12860";"Département des Antiquités égyptiennes";;"non exposé";
cl010000855;moule;;"395 / 641 (?)  (époque byzantine [?])";"AF 13323";"Département des Antiquités égyptiennes";;"non exposé";
cl010000856;"bracelet ; anneau ouvert";;"395 / 641  (époque byzantine)";"E 14244";"Département des Antiquités égyptiennes";;"non exposé";
cl010000858;"ampoule de St Ménas";;"395 / 641  (époque byzantine)";"E 21048; MG 3549";"Département des Antiquités égyptiennes";;"non exposé";
cl010000859;figurine;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12441";"Département des Antiquités égyptiennes";;"non exposé";
cl010000861;bonnet;;"969 / 1171  (Fatimides)";"AF 13231";"Département des Antiquités égyptiennes";;"non exposé";
cl010000865;"moule d'orfèvre";;"641 / 1952 (?)  (époque islamique [?])";"E 11581";"Département des Antiquités égyptiennes";;"non exposé";
cl010000866;"moule d'orfèvre";;"-30 / 1952 (?)  (époque islamique [?] ; époque romaine [?])";"E 11585";"Département des Antiquités égyptiennes";;"non exposé";
cl010000868;pot;;"-30 / 395  (époque romaine)";"E 30702";"Département des Antiquités égyptiennes";;"non exposé";
cl010000870;"marmite cannelée";;"-30 / 395  (époque romaine)";"E 30165";"Département des Antiquités égyptiennes";;"non exposé";
cl010000871;"marmite cannelée";;"-30 / 395  (époque romaine)";"E 30168";"Département des Antiquités égyptiennes";;"non exposé";
cl010000872;"moule d'orfèvre";;"-664 / 1952 (?)  (époque islamique [?] ; époque romaine [?]; Basse Époque [?])";"AF 13505; Durand n°1899";"Département des Antiquités égyptiennes";;"non exposé";
cl010000873;"perle tubulaire";;"641 / 1952  (époque islamique)";"N 1945";"Département des Antiquités égyptiennes";;"non exposé";
cl010000885;corbeau;;"640 / 710  (Héraclius II ; Califat rashidun ; Omeyyades)";"AF 6312; X 5500";"Département des Antiquités égyptiennes";;"non exposé";
cl010000897;"figurine ; applique";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1484";"Département des Antiquités égyptiennes";;"non exposé";
cl010000898;"pendentif ; monnaie";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 21104; MG 3605";"Département des Antiquités égyptiennes";;"non exposé";
cl010000899;"médaillon ; monnaie";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 21105; MG 3606";"Département des Antiquités égyptiennes";;"non exposé";
cl010000900;"épingle à cheveux";;"395 / 641  (époque byzantine)";"E 21276; MG 3777";"Département des Antiquités égyptiennes";;"non exposé";
cl010000902;frise;;"750 / 905  (Abbasides ; Tulunides)";"AF 4821; AF 4911; AF 5171; X 3293; X 3385; X 3651";"Département des Antiquités égyptiennes";;"non exposé";
cl010000903;pendentif;;"395 / 641  (époque byzantine)";"E 13555";"Département des Antiquités égyptiennes";;"non exposé";
cl010000905;lampe;;"395 / 641  (époque byzantine)";"E 14149";"Département des Antiquités égyptiennes";;"non exposé";
cl010000906;"lampe ovoïde à bec pincé";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 29957";"Département des Antiquités égyptiennes";;"non exposé";
cl010000907;lampe;;"395 / 641  (époque byzantine)";"E 12889";"Département des Antiquités égyptiennes";;"non exposé";
cl010000908;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 13915";"Département des Antiquités égyptiennes";;"non exposé";
cl010000915;papyrus;;"395 / 641 (?)  (époque byzantine [?])";"E 6634";"Département des Antiquités égyptiennes";;"non exposé";
cl010000916;papyrus;;"395 / 641 (?)  (époque byzantine [?])";"E 6634";"Département des Antiquités égyptiennes";;"non exposé";
cl010000918;papyrus;;;"E 6649";"Département des Antiquités égyptiennes";;"non exposé";
cl010000930;flacon;;"395 / 641  (époque byzantine)";"AF 1102";"Département des Antiquités égyptiennes";;"non exposé";
cl010000931;"flacon ; verrerie";;"800 / 899  (Abbasides)";"E 12542";"Département des Antiquités égyptiennes";;"non exposé";
cl010000932;"flacon ; verrerie";;"800 / 899  (Abbasides)";"E 12543";"Département des Antiquités égyptiennes";;"non exposé";
cl010000953;"pendentif ; amulette";;"395 / 641  (époque byzantine)";"AF 966";"Département des Antiquités égyptiennes";;"non exposé";
cl010000968;moule;;"400 / 641  (époque byzantine)";"E 12858; AF 6944";"Département des Antiquités égyptiennes";;"non exposé";
cl010000971;vase;;"-2106 / -1786 (?)  (Moyen Empire [?])";"E 12806";"Département des Antiquités égyptiennes";;"non exposé";
cl010000972;"flacon cylindrique";;"800 / 999  (début époque islamique)";"AF 1213";"Département des Antiquités égyptiennes";;"non exposé";
cl010000976;"peigne à tisser";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12274; A 50";"Département des Antiquités égyptiennes";;"non exposé";
cl010000977;"lampe théière";;"300 / 395  (époque romaine)";"E 14147";"Département des Antiquités égyptiennes";;"non exposé";
cl010000979;"lampe théière";;"500 / 599  (époque byzantine)";"N 1057";"Département des Antiquités égyptiennes";;"non exposé";
cl010000980;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1520";"Département des Antiquités égyptiennes";;"non exposé";
cl010000981;"lampe théière";;"500 / 599  (époque byzantine)";"AF 1519";"Département des Antiquités égyptiennes";;"non exposé";
cl010000982;"lampe théière";;"395 / 1952 (?)  (époque byzantine [?] ; époque islamique [?])";"AF 1489";"Département des Antiquités égyptiennes";;"non exposé";
cl010000983;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"AF 1524";"Département des Antiquités égyptiennes";;"non exposé";
cl010000986;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 12933";"Département des Antiquités égyptiennes";;"non exposé";
cl010000987;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 12938";"Département des Antiquités égyptiennes";;"non exposé";
cl010000988;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 12943";"Département des Antiquités égyptiennes";;"non exposé";
cl010000989;vase;;"395 / 641  (époque byzantine)";"E 30120";"Département des Antiquités égyptiennes";;"non exposé";
cl010000990;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 13020";"Département des Antiquités égyptiennes";;"non exposé";
cl010000991;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"AF 13021";"Département des Antiquités égyptiennes";;"non exposé";
cl010000993;pot;;"-30 / 395  (époque romaine)";"E 30162";"Département des Antiquités égyptiennes";;"non exposé";
cl010000995;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 32577";"Département des Antiquités égyptiennes";;"non exposé";
cl010000996;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 30807";"Département des Antiquités égyptiennes";;"non exposé";
cl010000997;lampe;;"395 / 641  (époque byzantine)";"E 30803";"Département des Antiquités égyptiennes";;"non exposé";
cl010000998;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"E 30802";"Département des Antiquités égyptiennes";;"non exposé";
cl010000999;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 30799";"Département des Antiquités égyptiennes";;"non exposé";
cl010001000;"lampe à la grenouille";;"395 / 641  (époque byzantine)";"E 30798";"Département des Antiquités égyptiennes";;"non exposé";
cl010001001;"lampe ovoïde";;"395 / 641  (époque byzantine)";"E 14151";"Département des Antiquités égyptiennes";;"non exposé";
cl010001002;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 15583";"Département des Antiquités égyptiennes";;"non exposé";
cl010001003;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 29960";"Département des Antiquités égyptiennes";;"non exposé";
cl010001004;"lampe ovoïde";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12213";"Département des Antiquités égyptiennes";;"non exposé";
cl010001005;"lampe ovoïde à bec pincé";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1518";"Département des Antiquités égyptiennes";;"non exposé";
cl010001007;vase;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 30563";"Département des Antiquités égyptiennes";;"non exposé";
cl010001008;"coupe basse évasée";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 30226";"Département des Antiquités égyptiennes";;"non exposé";
cl010001009;cruche;;"395 / 641  (époque byzantine)";"E 30573";"Département des Antiquités égyptiennes";;"non exposé";
cl010001010;vase;;"395 / 641  (époque byzantine)";"E 30564";"Département des Antiquités égyptiennes";;"non exposé";
cl010001013;cruche;;"-30 / 395 (?)  (époque romaine [?])";"E 30554";"Département des Antiquités égyptiennes";;"non exposé";
cl010001014;pot;;"395 / 641  (époque byzantine)";"E 30142";"Département des Antiquités égyptiennes";;"non exposé";
cl010001017;"bol caréné à bord droit et base annulaire";;"395 / 641  (époque byzantine)";"E 30375";"Département des Antiquités égyptiennes";;"non exposé";
cl010001018;vase;;"641 / 1952  (époque islamique)";"AF 9894";"Département des Antiquités égyptiennes";;"non exposé";
cl010001019;"moule à lampe";;"395 / 641  (époque byzantine)";"E 12812";"Département des Antiquités égyptiennes";;"non exposé";
cl010001026;"flacon ; verrerie";;"641 / 1952  (époque islamique)";"AF 958 2";"Département des Antiquités égyptiennes";;"non exposé";
cl010001028;flacon;;"641 / 1952  (époque islamique)";"AF 1211";"Département des Antiquités égyptiennes";;"non exposé";
cl010001041;flacon;;"800 / 899  (Abbasides)";"E 12541";"Département des Antiquités égyptiennes";;"non exposé";
cl010001043;"lampe ovoïde";;"400 / 599  (époque byzantine)";"E 15457";"Département des Antiquités égyptiennes";;"non exposé";
cl010001044;"lampe ovoïde";;"400 / 599  (époque byzantine)";"E 15459";"Département des Antiquités égyptiennes";;"non exposé";
cl010001045;lampe;;"395 / 641  (époque byzantine)";"AF 1244";"Département des Antiquités égyptiennes";;"non exposé";
cl010001046;"lampe ovale à médaillon et anse";;"300 / 499 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1262";"Département des Antiquités égyptiennes";;"non exposé";
cl010001047;"lampe ovale à médaillon et anse";;"400 / 599  (époque byzantine)";"E 29985";"Département des Antiquités égyptiennes";;"non exposé";
cl010001048;"lampe ovale à médaillon et anse";;"300 / 499 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12390";"Département des Antiquités égyptiennes";;"non exposé";
cl010001049;"lampe ovale à médaillon et anse";;"395 / 641  (époque byzantine)";"AF 1523";"Département des Antiquités égyptiennes";;"non exposé";
cl010001050;"lampe de type syro palestinien";;"395 / 641  (époque byzantine)";"E 29943";"Département des Antiquités égyptiennes";;"non exposé";
cl010001051;"lampe de type syro palestinien";;"395 / 641  (époque byzantine)";"E 29944";"Département des Antiquités égyptiennes";;"non exposé";
cl010001052;"lampe de type syro palestinien";;"395 / 641  (époque byzantine)";"AF 1509";"Département des Antiquités égyptiennes";;"non exposé";
cl010001055;"peigne double";;"395 / 641  (époque byzantine)";"E 13505 1";"Département des Antiquités égyptiennes";;"non exposé";
cl010001056;"peigne double";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 13505 2";"Département des Antiquités égyptiennes";;"non exposé";
cl010001057;corbeau;;"395 / 641  (époque byzantine)";"AF 1361";"Département des Antiquités égyptiennes";;"non exposé";
cl010001058;"étiquette de momie en palette";;"100 / 299  (époque romaine)";"E 9557";"Département des Antiquités égyptiennes";;"non exposé";
cl010001059;"étiquette de momie rectangulaire";;"100 / 299  (époque romaine)";"E 9558";"Département des Antiquités égyptiennes";;"non exposé";
cl010001060;"étiquette de momie en palette";;"200 / 399  (époque romaine)";"E 9559";"Département des Antiquités égyptiennes";;"non exposé";
cl010001061;"étiquette de momie rectangulaire";;"100 / 299  (époque romaine)";"E 9560";"Département des Antiquités égyptiennes";;"non exposé";
cl010001062;"étiquette de momie en palette";;"100 / 299  (époque romaine)";"E 9561";"Département des Antiquités égyptiennes";;"non exposé";
cl010001063;"étiquette de momie en palette";;"100 / 299  (époque romaine)";"E 9562";"Département des Antiquités égyptiennes";;"non exposé";
cl010001064;"étiquette de momie en palette";;"100 / 299  (époque romaine)";"E 9563";"Département des Antiquités égyptiennes";;"non exposé";
cl010001065;"étiquette de momie en palette";;"100 / 299  (époque romaine)";"E 9564";"Département des Antiquités égyptiennes";;"non exposé";
cl010001066;"étiquette de momie en palette";;"100 / 299  (époque romaine)";"E 9565";"Département des Antiquités égyptiennes";;"non exposé";
cl010001070;polycandelon;;"400 / 900 (?)  (époque byzantine [?] ; époque islamique [?])";"E 13524; X 3629";"Département des Antiquités égyptiennes";;"non exposé";
cl010001071;polycandelon;;"800 / 999  (début époque islamique)";"E 11711; X 3916";"Département des Antiquités égyptiennes";;"non exposé";
cl010001073;pot;;"395 / 641  (époque byzantine)";"E 30161";"Département des Antiquités égyptiennes";;"non exposé";
cl010001074;pot;;"-30 / 395  (époque romaine)";"E 30159";"Département des Antiquités égyptiennes";;"non exposé";
cl010001075;vase;;"395 / 641  (époque byzantine)";"E 30212";"Département des Antiquités égyptiennes";;"non exposé";
cl010001076;vase;;"395 / 641  (époque byzantine)";"E 30214";"Département des Antiquités égyptiennes";;"non exposé";
cl010001077;lampe;;"395 / 641  (époque byzantine)";"E 14148";"Département des Antiquités égyptiennes";;"non exposé";
cl010001078;lampe;;"395 / 641  (époque byzantine)";"AF 1152";"Département des Antiquités égyptiennes";;"non exposé";
cl010001079;"lampe ovoïde ; lampe à anse";;"395 / 641 (?)  (époque byzantine [?])";"E 29987";"Département des Antiquités égyptiennes";;"non exposé";
cl010001080;"lampe ovoïde";;"395 / 641  (époque byzantine)";"E 12932";"Département des Antiquités égyptiennes";;"non exposé";
cl010001081;"lampe ovoïde à bec pincé";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12397";"Département des Antiquités égyptiennes";;"non exposé";
cl010001082;lampe;;"395 / 641  (époque byzantine)";"E 21036; MG 3537";"Département des Antiquités égyptiennes";;"non exposé";
cl010001083;vase;;"395 / 641  (époque byzantine)";"E 30595";"Département des Antiquités égyptiennes";;"non exposé";
cl010001093;écharpe;;"430 / 610  (époque byzantine ; époque islamique)";"E 32155";"Département des Antiquités égyptiennes";;"non exposé";
cl010001096;vase;;"395 / 641  (époque byzantine)";"E 12875; X 3221";"Département des Antiquités égyptiennes";;"non exposé";
cl010001097;"sceau à poignée";;"395 / 641  (époque byzantine)";"AF 1466";"Département des Antiquités égyptiennes";;"non exposé";
cl010001098;"sceau à poignée";;"395 / 641  (époque byzantine)";"AF 1467";"Département des Antiquités égyptiennes";;"non exposé";
cl010001100;coupe;;"400 / 599  (époque byzantine)";"E 12814";"Département des Antiquités égyptiennes";;"non exposé";
cl010001101;coupe;;"395 / 641  (époque byzantine)";"E 12818; AF 5341";"Département des Antiquités égyptiennes";;"non exposé";
cl010001102;plat;;"395 / 641  (époque byzantine)";"E 12824";"Département des Antiquités égyptiennes";;"non exposé";
cl010001103;coupe;;"395 / 641  (époque byzantine)";"E 12816";"Département des Antiquités égyptiennes";;"non exposé";
cl010001104;coupe;;"400 / 599  (époque byzantine)";"E 12815";"Département des Antiquités égyptiennes";;"non exposé";
cl010001105;vase;;"395 / 641  (époque byzantine)";"E 12819";"Département des Antiquités égyptiennes";;"non exposé";
cl010001106;coupe;;"395 / 641  (époque byzantine)";"E 12821";"Département des Antiquités égyptiennes";;"non exposé";
cl010001107;assiette;;"395 / 641  (époque byzantine)";"E 12822";"Département des Antiquités égyptiennes";;"non exposé";
cl010001109;"sceau cylindre ; sceau médaillon";;"395 / 641  (époque byzantine)";"AF 1465";"Département des Antiquités égyptiennes";;"non exposé";
cl010001132;fuseau;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 12293; A 68";"Département des Antiquités égyptiennes";;"non exposé";
cl010001134;calame;;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"AF 1177";"Département des Antiquités égyptiennes";;"non exposé";
cl010001136;"élément architectural ; décor architectural";;"395 / 641  (époque byzantine)";"AF 4878";"Département des Antiquités égyptiennes";;"non exposé";
cl010001137;"bouchon de vase";;"395 / 641  (époque byzantine)";"AF 1362";"Département des Antiquités égyptiennes";;"non exposé";
cl010001140;"papyrus littéraire ; Chant 18 de l'Iliade d'Homère";;"100 / 199  (Haut Empire)";"E 3060";"Département des Antiquités égyptiennes";;"non exposé";
cl010001155;"papyrus documentaire";;"-127 / -126  (Ptolémée VIII Evergète II)";"N 2330; Salt n°100 ?";"Département des Antiquités égyptiennes";;"non exposé";
cl010001156;"papyrus documentaire";;-98;"N 2331; Salt n°99";"Département des Antiquités égyptiennes";;"non exposé";
cl010001157;"papyrus documentaire";;-129;"N 2332; Salt n°98";"Département des Antiquités égyptiennes";;"non exposé";
